ID,CG Year 1,1,2,3,4,5,6,7,8,9,alloted
2,9.35,A7,AA,A3,A8,A4,AB,A1,A2,A5,A7
3,9.16,A7,,,,,,,,,A7
4,8.946,A7,AA,A3,A8,A4,A1,A2,AB,A5,A7
5,8.92,A7,AA,A3,A4,A8,AB,A2,A1,A5,A7
6,8.865,A7,AA,A3,A8,A4,A1,A2,AB,A5,A7
7,8.756,A7,AA,A3,A8,A4,A2,AB,A1,A5,A7
8,8.622,A7,AA,A3,A4,A8,,A2,A5,AB,A7
9,8.595,A7,A4,AA,A8,A3,A2,AB,A1,A5,A7
10,8.595,A7,AA,A3,A4,A8,A2,A1,AB,A5,A7
11,8.595,A7,AA,A3,A4,A5,AB,A1,A2,A8,A7
12,8.594,A7,AA,A3,A8,A4,A1,AB,A2,A5,A7
13,8.541,A7,AA,A3,A4,A8,,,,,A7
14,8.54,A7,AA,A3,A8,A4,AB,A1,A2,A5,A7
15,8.514,A7,AA,A3,A4,A8,A1,AB,A2,A5,A7
16,8.514,A7,AA,A3,,,,,,,A7
17,8.46,A7,AA,A3,A8,A4,AB,A2,A1,A5,A7
18,8.432,A7,AA,A3,A4,A8,A1,AB,A2,A5,A7
19,8.378,A7,AA,A3,A8,A4,A1,A2,AB,A5,A7
20,8.324,A7,AA,A3,A8,A1,A2,A4,AB,A5,A7
21,8.297,A7,AA,A3,A8,A4,AB,A2,A1,A5,A7
22,8.27,A7,AA,A3,A8,A4,A1,AB,,,A7
23,8.27,A7,AA,A3,A8,,,,,,A7
24,8.243,A7,AA,A3,A8,A4,A1,A2,AB,A5,AA
25,8.243,A7,AA,A3,A8,A4,A2,AB,A1,A5,AA
26,8.189,A7,AA,A3,A8,A4,A1,AB,A2,A5,AA
27,8.162,A7,AA,A3,A8,A4,A1,AB,A2,A5,AA
28,8.135,A7,AA,A3,A8,A4,A2,AB,A1,A5,AA
29,8.135,A7,AA,A3,A8,,,,,,AA
30,8.126,A7,AA,A3,A4,A8,A1,A2,AB,A5,AA
31,8.054,A7,AA,A3,,,,,,,AA
32,8,A7,AA,A3,A4,A3,A2,A1,AB,A5,AA
33,8,A7,AA,A3,A8,A5,,,,,AA
34,8,A7,AA,A3,A8,A4,AB,A1,A2,A5,AA
35,8,A7,AA,A3,A8,A4,A2,A1,AB,A5,AA
36,7.973,A7,A4,AA,A3,A2,A8,AB,A1,A5,A4
37,7.94,A7,AA,A3,A4,A8,A1,A2,A5,,AA
38,7.92,A7,AA,A4,A3,A8,A1,AB,A2,A5,A4
39,7.838,A7,AA,A3,A8,A4,AB,A1,A2,A5,A3
40,7.83,A7,AA,A3,A4,A8,AB,A1,A2,A5,A3
41,7.82,A7,AA,A3,A8,A4,A1,A2,,,A3
42,7.73,A7,AA,A3,A8,A4,A1,A2,A5,AB,A3
43,7.73,A7,AA,A3,A8,A4,,AB,A1,A5,A3
44,7.7,A7,AA,A3,A4,A8,,,,,A3
45,7.676,A7,AA,A3,A8,A4,AB,A1,A2,A5,A3
46,7.62,A7,AA,A3,A8,A4,A1,AB,A2,A5,A3
47,7.541,A7,AA,A4,A3,,,,,,A4
48,7.541,AA,A3,A8,A4,A7,AB,A1,A2,A5,A3
49,7.54,A7,AA,A3,A4,A8,A2,AB,A1,A5,A3
50,7.5,A7,AA,A3,A8,A4,AB,A1,A2,A5,A3
51,7.486,A7,AA,A3,A8,A4,A1,A2,AB,A5,A3
52,7.432,A7,AA,A3,A8,A4,AB,A2,A1,A5,A3
53,7.43,AA,A3,A7,A8,A4,A1,A2,AB,A5,A8
54,7.4,A7,AA,A3,A8,A4,A1,AB,A2,A5,A8
55,7.378,A7,AA,A3,A4,A8,AB,A1,A2,A5,A4
56,7.351,A7,A4,A2,,,,,,,A4
57,7.351,A7,AA,A3,A4,A8,A2,AB,A1,A5,A4
58,7.35,A7,AA,A3,A8,A4,A1,A2,AB,A5,A8
59,7.277,A7,AA,A3,A8,A4,AB,A1,A2,A5,A8
60,7.24,A7,AA,A3,A8,A4,A1,AB,A2,A5,A8
61,7.216,A3,A8,A4,,,,,,,A4
62,7.205,A7,AA,A3,A8,A4,,,,,A4
63,7.189,A7,AA,A3,A8,A4,AB,A1,A2,A5,A4
64,7.162,A7,AA,A3,A8,A4,AB,A1,A2,A5,A4
65,7.135,A7,A3,A8,A4,AB,,,,,AB
66,7.02,A7,AA,A3,A4,A8,A1,A2,AB,A5,A1
67,7,A7,AA,A3,A8,A4,AB,A2,A1,A5,AB
68,6.974,A7,AA,A8,A3,A4,AB,A1,A2,A5,AB
69,6.73,A7,AA,A3,A8,A4,A1,A2,AB,A5,A1
70,6.72,A7,AA,A3,A8,A1,A4,AB,A2,A5,A1
71,6.7,A7,AA,A3,A4,A8,A2,A1,AB,A5,A2
72,6.676,A7,AA,A3,A8,A4,A2,AB,A1,A5,A2
73,6.62,A7,AA,A3,A4,A8,A1,A2,AB,A5,A1
74,6.42,A7,AA,A3,A8,A4,A2,A1,AB,A5,A2
75,6.37,A7,AA,A3,A4,A8,A2,A1,AB,A5,A2
76,6.35,A7,AA,A3,A4,A8,A1,AB,A2,A5,A1
77,6.3,A7,A4,AB,A1,A2,A3,AA,A8,A5,AB
78,6.26,A7,AA,A3,A8,A4,A1,AB,A2,A5,A1
79,6.135,A7,A4,AA,A8,A3,A2,A1,AB,A5,A2
80,6.108,A7,AA,A3,A4,A8,A1,A2,AB,A5,A1
81,5,A7,AA,A3,A8,A4,AB,A2,A1,A5,AB
82,4.49,A7,A4,A1,A2,AB,AA,A8,A3,A5,A2
83,4.4835,A7,AA,A3,A8,A4,A2,A1,AB,A8,A2
